claim_id,claim,evidence_status,dataset,calls_after_hypothesis,role,source_report,paper_location,boundary
human_construct,Human judgments support the scalar Preserve/Reevaluate core more than reject fallback,post-primary replication/audit,human validation,yes,secondary,human_validation/analysis.json,main Policy Discrimination construct validation,"Rewrites adapt authored tasks and are not independent elicitation"
human_followup_boundary,Six-form follow-up fails its frozen eligibility gate and remains weak under relaxed sensitivities,post-primary replication/audit,human follow-up,no,boundary,reports/wjx_six_form_human_construct_audit_incomplete_cutoff_v1.json,main Policy Discrimination construct validation and Limitations,"11/31 eligible; no fixed-rater endpoint; descriptive boundary evidence only"
external_positive,TRI occurs in a small benchmark-compatible ToolSandbox-style pilot,post-hoc,ToolSandbox-compatible pilot,yes,secondary,reports/toolsandbox_tri_pilot_conditional_audit_v1.json,supplement External Boundary Check,"Small selected custom inventory; no prevalence claim"
external_null,Four paper-facing ToolSandbox-style conditions and lower-intervention AppWorld agents show zero conditional substitutions,post-primary replication/audit,ToolSandbox-style and AppWorld,yes,main,reports/toolsandbox_single_turn_qwen_full_history_full_v1.json;reports/toolsandbox_single_turn_glm_full_history_full_v1.json;reports/toolsandbox_single_turn_matched_generic_qwen_full_v1.json;reports/toolsandbox_single_turn_matched_generic_glm_full_v1.json;reports/appworld_naturalistic_v1.json,main Transfer and Boundary Conditions,"Four paper-facing ToolSandbox-style conditions only; compatible with low opportunity and controlled-interface amplification"
external_exploratory_state_observed,Qwen-only state-observed sensitivity also has zero conditional substitutions,post-primary replication/audit,ToolSandbox-style,yes,secondary,reports/toolsandbox_single_turn_qwen_generic_state_observed_full_v1.json,artifact only,"Exploratory unmatched interface with 13 prohibited-schema/process errors; excluded from and not pooled with the four paper-facing conditions"
public_coverage,Three pinned public-suite versions expose zero strict native opportunities under the stated checklist,post-primary replication/audit,ToolSandbox AppWorld and tau3,NA,main,reports/public_suite_coverage_funnel_v1.json,main Transfer and Boundary Conditions,"Author audit without independent recall estimate; pinned versions only"
source_anchored_external_transfer,The matched timing contrast produces limited refreshed-winner substitution on external source states and tools,post-primary replication/audit,STATE-Bench and AgentDojo,yes,main,reports/source_anchored_external_transfer_v1.json,main Transfer and Boundary Conditions,"Author-adapted instructions and refreshes; Preserve positives occur only for Qwen ordinary history in AgentDojo; not native benchmark behavior or prevalence"
composition_negative,Scalar lifecycle state does not compose automatically across refreshes and roles,post-primary replication/audit,v5 and v6,yes,main,reports/v5_qwen_multirefresh_report.json;reports/v6_matched_scalar_role_report.json,main Transfer and Boundary Conditions,"Mixed and transport-sensitive; no general compositional claim"
prospective_linguistic_holdout,Independent free-instruction confirmation,planned/unverified,planned controlled-language holdout,NA,none,reports/TRI_independent_language_holdout_protocol.md,not reported as a result,"Requires 12 valid writers three independent annotators and at least 40 clear complete pairs before model calls"
model_authored_linguistic_audit,The controlled contrast persists in all-generated ITT on a frozen model-authored distribution but model-only validation is inconclusive,post-primary replication/audit,24 model-authored workflow pairs,yes,secondary,reports/model_authored_linguistic_stress_transport_repaired_v2.json,main Limitations and supplement Model-Authored Linguistic Stress Audit,"Transport-repaired after an invalid identifier-normalization report; two model judges accept no complete pair jointly; not independent human or open-language evidence"
rule_source_grounded_transfer,The benchmark-aware post-hoc rule does not transfer automatically to three source-grounded schemas,post-hoc,STATE-Bench AgentDojo and ToolSandbox,NA,main,reports/revision_source_grounded_rule_star_frozen_v1.json,main Results and supplement Rule audit,"15/60 rows and 2/30 PairAcc; hash-frozen before this application; not a learned-versus-rule causal comparison"
public_audit_injected_sensitivity,The deterministic public-audit implementation detects known strict controls and rejects one-feature-missing controls,post-primary replication/audit,six schema-shaped control sets,NA,secondary,reports/public_audit_injected_sensitivity_v1.json,supplement External Boundary Check,"30/30 and 30/30 implementation sensitivity only; not semantic retrieval recall or systematic benchmark undercoverage"
model_assisted_public_recall_triage,A model-assisted triage pass labels public-suite candidate records and injected controls under the strict native-opportunity checklist,post-primary replication/audit,six public suites plus injected controls,NA,secondary,reports/model_assisted_public_recall_triage_v1.json,supplement External Boundary Check,"72 natural records and 60 controls; candidate-label triage only, not independent recall calibration, prevalence, native opportunity evidence, or behavioral evidence"
revision_full_matched,Equal-call decision visibility improves changed PairAcc on all 160 diagnostic rows,post-primary replication/audit,Matched Timing Diagnostic,yes,main,reports/revision_full_diagnostic_v2.json,main Matched-Call Decision Visibility,"Frozen before own calls; equal calls and base payloads; Reject slice separated; does not identify a unique compiler or gate"
decision_block_stratification,Matched decision visibility restates existing values and its gains depend descriptively on compiler correctness,post-primary replication/audit,authored rewrite source-derived and cross-schema matched outputs,NA,secondary,reports/decision_block_stratification_v1.json,main Composite Decision-Block Visibility and supplement,"760/760 exact value redundancy; compiler strata are post-treatment and do not identify mediation or single-field effects"
end_to_end_decision_decomposition,Ordered decomposition of a model-produced timing block without a resolver initial ID,planned/unverified,80-row changed-winner inventory,yes,none,reports/TRI_end_to_end_decision_decomposition_protocol.md,not reported as a result,"Only zero-API dry runs and failed sandbox-DNS smoke attempts exist; no model result"
revision_human_matched,Equal-call decision visibility has model-dependent transfer on 50 existing volunteer rewrites,post-primary replication/audit,human rewrites,yes,main,reports/revision_human_rewrite_v2.json,main Transfer and Boundary Conditions,"No new human evidence; only three actionable changed pairs; rewrites retain authored task semantics"
revision_source_matched,Equal-call decision visibility has model-dependent transfer on 30 three-source grounded pairs,post-primary replication/audit,STATE-Bench AgentDojo and ToolSandbox,yes,main,reports/revision_source_grounded_v2.json,main Transfer and Boundary Conditions,"Qwen null; GLM positive E2E; DeepSeek interval crosses zero; controlled intervention, not native benchmark behavior or prevalence"
oracle_stage_decomposition,Primary compilation is exact while one unseen-schema loss is dominated by initial selector grounding,post-primary replication/audit,v3 primary and unseen schema,NA,secondary,reports/v3_oracle_qwen_primary.json;reports/v3_oracle_glm_primary.json;reports/v3_oracle_qwen_unseen.json,main Conditional Target Substitution,"Zero-API oracle substitutions diagnose mode and binding stages; they are not deployable controller results"
revision_hard_enforcement,Offline enforcement can repair and harm decisions after the matched-call compiler,post-primary replication/audit,Matched Timing Diagnostic,NA,secondary,reports/revision_full_diagnostic_v2.json,main Matched-Call Decision Visibility,"Zero-API replay; Qwen has 18 repairs and 8 harms; GLM has 4 repairs and 0 harms; enforcement inherits compiler errors"
temperature_zero_repeat,Controller direction and conditional substitution persist across three temperature-zero passes on a frozen subset,post-primary replication/audit,v7 frozen 40-task subset,yes,secondary,reports/v7_repeat_stability_v1.json,main Transfer and Boundary Conditions,"One task per state cluster does not form complete matched pairs; repeated PairAcc is not estimated and target-level unanimity is mixed"
